sanskrit_verse_transliteration,translation_in_english,meaning_in_english,meaning_in_hindi,chapter,verse
etan me sanśhayaṁ kṛiṣhṇa chhettum arhasyaśheṣhataḥtvad-anyaḥ sanśhayasyāsya chhettā na hyupapadyate,"O Krishna, please dispel this doubt of mine completely, for who other than You can do so?","Doubts arise from ignorance, and the power to dispel doubts comes from knowledge. Scholars of the scriptures possess theoretical knowledge, which is not good enough to dispel doubts, because the scriptures contain many apparent contradictions that can be reconciled only by realization. The God-realized Saints do possess realized knowledge that is limited in extent. They do not become all-knowing. Such realized Saints do possess the power to dispel doubts, but they cannot compete with God, who is all-knowing. God alone is sarvajña (omniscient) and sarva-śhaktimān (all-powerful), and hence he is supremely competent in removing all ignorance, just as the sun is competent in repealing the darkness.",अज्ञान के कारण ही संदेह उत्पन्न होते हैं और इन सन्देहों का निवारण करने के लिए शास्त्रों का सैद्धान्तिक ज्ञान रखने वाले विद्वानों का ज्ञान ही पर्याप्त नहीं होता। क्योंकि शास्त्रों में कई विरोधाभासी विचार सम्मिलित होते हैं जिनका समाधान केवल अनुभव द्वारा ही हो सकता है। भगवद्प्राप्त संत ऐसे अनुभूत ज्ञान से संपन्न होते हैं जो सीमित मात्रा का होता है। वे सर्वज्ञ नहीं होते। ऐसे सिद्ध संत संदेह निवारण करने की शक्ति से सम्पन्न होते हैं किन्तु वे भगवान से तुलना नहीं कर सकते जो पूर्ण एवं सर्वज्ञ हैं। केवल भगवान ही 'सर्वज्ञ और सर्वशक्तिमान है' और इसलिए वे उसी प्रकार से अज्ञानता को दूर करने में परम समर्थ हैं जिस प्रकार सूर्य अंधकार को मिटाने में पूर्णतः समर्थ होता है।,6,39
śhrī bhagavān uvāchapārtha naiveha nāmutra vināśhas tasya vidyatena hi kalyāṇa-kṛit kaśhchid durgatiṁ tāta gachchhati,"The Supreme Lord said: O Parth, one who engages on the spiritual path does not meet with destruction either in this world or the world to come. My dear friend, one who strives for God-realization is never overcome by evil.","The word Tāta is a word of endearment, which literally means “son.” By addressing Arjun as Tāta in this verse, Shree Krishna is demonstrating his affection for him. The son is affectionately addressed as Tāta. The Guru is like a father to his disciple, and hence the Guru too sometimes affectionately addresses the disciple as Tāta. Here, by displaying his affection and grace toward Arjun, Shree Krishna wishes to indicate that God takes care of those who tread on his path. They are dear to God because they engage in the most auspicious kind of activity, and “the doer of good never comes to grief.” This verse asserts that God preserves the devotee both in this world and the world hereafter. This pronouncement is a great assurance to all spiritual aspirants. Shree Krishna then goes on to explain how God preserves the efforts of the yogi who does not complete the journey in the present life.","तात' शब्द एक स्नेहपूर्ण शब्द है जिसका साहित्यिक अर्थ 'पुत्र' है। अर्जुन को 'तात' शब्द से संबोधित कर श्रीकृष्ण उसके प्रति अपना स्नेह प्रदर्शित करते हैं। पुत्र को स्नेहपूर्वक 'तात' कहकर संबोधित किया जाता है। गुरु शिष्य के लिए पिता समान है और इसलिए गुरु भी कई बार शिष्य को स्नेहपूर्वक 'तात' कहकर पुकारते हैं। यहाँ अर्जुन के प्रति अपना स्नेह और कृपा व्यक्त करते हुए श्रीकृष्ण यह संकेत देते हैं कि भगवान उनकी सहायता करते हैं जो उनके मार्ग का अनुगमन करते हैं। वे भगवान के प्रिय होते हैं क्योंकि वे अति पुण्य और पवित्र कार्यों में लीन रहते हैं। भलाई करने वाले को कभी कष्ट नहीं होता। यह श्लोक यह पुष्टि करता है कि भगवान अपने भक्त की इस लोक में और परलोक में रक्षा करते हैं। यह उद्घोषणा सभी आध्यात्मवाद के साधकों के लिए आश्वासन है। श्रीकृष्ण अब यह स्पष्ट करेंगे भगवान उस योगी जिसकी आध्यात्मिक यात्रा इस जन्म में पूरी नहीं होती, उसके प्रयासों को वे कैसे सुरक्षित करके रखते हैं।",6,40
prāpya puṇya-kṛitāṁ lokān uṣhitvā śhāśhvatīḥ samāḥśhuchīnāṁ śhrīmatāṁ gehe yoga-bhraṣhṭo ’bhijāyateatha vā yoginām eva kule bhavati dhīmatāmetad dhi durlabhataraṁ loke janma yad īdṛiśham,"The unsuccessful yogis, upon death, go to the abodes of the virtuous. After dwelling there for many ages, they are again reborn in the earth plane, into a family of pious and prosperous people. Else, if they had developed dispassion due to long practice of Yog, they are born into a family endowed with divine wisdom. Such a birth is very difficult to attain in this world.","Residence in the celestial abodes is awarded to those who engage in mundane virtuous deeds and the fruitive karm-kāṇḍ activities enjoined in the Vedas. So, why should an unsuccessful yogi go to the celestial abodes? The reason is that the opposite of Yog (union with God) is bhog (material enjoyment). One falls from Yog because of the desire for bhog. So God, like an indulgent father, gives that fallen yogi a chance to engage in bhog in the next life and realize that it is an exercise in futility, which does not satiate the yearning of the soul for permanent bliss. So the fallen yogi is sometimes sent to the celestial abodes for a long time, and then again granted birth on Earth.
Such souls are then given birth in a family where they have the opportunity to continue their spiritual journey. Śhuchī means those who are of pious and of good character; shree means those who are wealthy. The unsuccessful yogi are either born in a pious family that will nurture the child’s spirituality from childhood, or in a wealthy family where all the bodily needs are taken care of and one does not need to engage in the struggle for survival. Such a family environment facilitates the opportunity to engage in spiritual pursuits for the souls who are so inclined.
The circumstances, situation, and family of our birth have an important bearing upon the course of our life. From our bodily parents we derive physical hereditary characteristics. This is the genetic process of heredity. However, there is also the process of social heredity. We blindly follow many customs because of the social environment of our upbringing. We do not choose to be Indians, Americans, British, etc. We identify ourselves with a nationality based upon our birth, and even go the extent of developing enmity with people of other nationalities. Invariably, we follow the religion of our parents, on the basis of social heredity.
Thus, the place and family of our birth has a great impact upon our direction and attainment in life. If the place and family of birth were arbitrarily decided in every life, there would be no justice in the world. However, God has an account of all our thoughts and actions of endless lifetimes. In accordance with the law of karma, the spiritual assets earned by the unsuccessful yogi in the previous life bear fruit. Accordingly, those yogis who had traversed quite a distance and developed dispassion are not sent to the celestial abodes. They are given birth in a spiritually evolved family, to facilitate the continuance of their journey. Such a birth is a great good fortune because the parents inculcate divine wisdom in the child from the very beginning.","स्वर्गलोक में उनको स्थान मिलता है जो लौकिक पुण्यकर्मो में संलग्न रहते हैं और फल की इच्छा से वेदों में प्रदत्त कर्मकाण्डों का पालन करते हैं। किन्तु असफल योगी को स्वर्गलोक क्यों भेजा जाता है? इसका कारण योग के विपरीत भोग है। कोई भी भोग की कामना के कारण योग मार्ग से भ्रष्ट हो जाता है। इसलिए भगवान एक कृपालु पिता की भाँति योग मार्ग से भ्रष्ट योगी को अगले जन्म में सुख भोगने और यह अनुभूति करने का अवसर प्रदान करते हैं कि लौकिक सुख व्यर्थ हैं जो स्थायी रूप से आनन्द प्राप्त करने के लिए तरसती आत्मा को तृप्त नहीं कर सकता। इसलिए असफल योगी को कभी-कभी दीर्घकाल के लिए स्वर्ग के उच्च लोकों में भेजा जाता है और फिर वे पुनः पृथ्वी पर जन्म लेते हैं।ऐसी जीवात्माओं को तब ऐसे कुलों में जन्म मिलता है जहाँ उन्हें अपनी आध्यात्मिक यात्रा को आगे जारी रखने का अवसर मिल सके। 'शुची' का अर्थ पवित्र और सद-आचरण का पालन करने वालों से हैं और 'श्री' का अर्थ वे जो धनवान हैं। असफल योगी या तो किसी पुण्य कर्म करने वाले परिवार में जहाँ बचपन से बालक में आध्यात्मिकता का पोषण किया जाता है या किसी धनवान परिवार में जन्म लेता है जहाँ सभी प्रकार की शारीरिक आवश्यकताओं की पूर्ति का ध्यान रखा जाता है और जहाँ किसी को अपने अस्तित्व के लिए किसी प्रकार का संघर्ष नहीं करना पड़ता। ऐसा पारिवारिक परिवेश उन जीवात्माओं को जिनकी आध्यात्मवाद में रुचि होती है, को आध्यात्मिक गतिविधियों में संलग्न रहने का अवसर प्रदान करने में सहायता करता है।हमारे जीवन की दिशा पर परिस्थितियों, स्थितियों और हमारे जन्म कुलों का महत्वपूर्ण प्रभाव पड़ता है। हमारे शारीरिक अभिभावकों से हमें शारीरिक वंशानुगत गुण आदि प्राप्त होते हैं। यह वंशानुगत की आनुवांशिक प्रक्रिया है। हालांकि समाजिक आनुवंशिकता की प्रक्रिया का भी महत्व होता है। हम अपने पालन पोषण से संबंद्ध सामाजिक परिवेशों के कई प्रकार के रीति रिवाजों का पालन आँखे मूंद कर करते हैं। हम भारतीय, अमेरीकी और ब्रिटिश होने का चयन नहीं कर सकते। हम अपने जन्म स्थान के आधार पर अपनी राष्ट्रीयता की पहचान करते हैं और यहाँ तक कि हम अन्य राष्ट्रीयता वाले लोगों से शत्रुता रखते हैं। इस प्रकार निश्चित रूप से हम सामाजिक आनुवांशिक आधार पर अपने पूर्वजों के धर्म का पालन करते हैं।इस प्रकार हमारे जन्मस्थान और जन्म कुल का हमारे जीवन के दिशा निर्देशन और प्रगति पर अत्यंत प्रभाव पड़ता हैं। यदि प्रत्येक जन्म में स्थान और जन्मकुलों का स्वेच्छानुसार निर्णय लिया जाता, तब संसार में कभी कोई न्याय नहीं हो सकता था। चूंकि भगवान हमारे अनन्त जन्मों के विचारों और कर्मों का लेखा-जोखा अपने पास रखते हैं। कर्म के नियमों के अनुसार असफल योगी को पिछले जन्म में अर्जित आध्यात्मिक संपत्ति का फल मिलता है। तदानुसारऐसे योगी, जो आध्यात्मिक क्षेत्र में अत्यंत दूरी तय करने के पश्चात उदासीन हो जाते हैं, उन्हें उच्च लोकों में नहीं भेजा जाता। उन्हें आध्यात्मिक रूप से उन्नत कुलों में जन्म दिया जाता है, ताकि वे सुगमतापूर्वक अपनी आध्यात्मिक यात्रा को आगे बढा सकें। इस प्रकार ऐसा जन्म अति सौभाग्यशाली होता है, क्योंकि माता-पिता बच्चों को आरम्भ से ही दिव्यज्ञान की शिक्षा प्रदान करते हैं।",6,41-42
tatra taṁ buddhi-sanyogaṁ labhate paurva-dehikamyatate cha tato bhūyaḥ sansiddhau kuru-nandana,"On taking such a birth, O descendant of Kurus, they reawaken the wisdom of their previous lives, and strive even harder toward perfection in Yog.","God, who is seated within the heart of every living being, is perfectly just. Whatever spiritual assets we had accumulated in the past life—detachment, wisdom, devotion, faith, tolerance, determination, etc.—are known to him. So, at the appropriate time, he gives us the fruits of our past efforts and enhances our spirituality from within, in accordance with our previous attainments. This explains why some people harboring materialistic views suddenly become deeply spiritual. When their spiritual sanskārs awaken, they get the benefit of their sādhanā of previous lives.
A traveler may break journey to rest the night in a hotel on the wayside. But when he wakes up, he does not need to again tread the distance already covered. He simply moves ahead to cover the remaining distance. Likewise, by God’s grace, the yogi of past lives receives the previous spiritual assets accumulated, to be able to continue the journey where he had left off, like someone who has woken up from sleep. That is why such a yogi never gets lost.","भगवान प्रत्येक प्राणी के हृदय में रहते हैं और पूर्ण न्यायी हैं। हमने पिछले जीवन में विरक्ति, ज्ञान, भक्ति, श्रद्धा, सहनशीलता, दृढ संकल्प आदि जो भी आध्यात्मिक संपत्ति प्राप्त की थी इन सबका भगवान को ज्ञान होता है। इसलिए भगवान उचित समय पर हमारे अतीत के प्रयत्नों का फल प्रदान करते हैं और हमारी पिछली उपलब्धियों के अनुसार हमारे भीतर आध्यात्मिकता के गुणों को बढ़ाते हैं। इससे यह स्पष्ट होता है कि भौतिकवादी विचारों पर अधिक आश्रित लोग अचानक कैसे गहन आध्यात्मिक हो जाते हैं। जब उनके आध्यात्मिक संस्कार जागृत होते हैं तब उन्हें अपनी पूर्व जन्म की साधना का लाभ मिलता है।एक यात्री रात्रि के समय अपनी यात्रा के मार्ग पर स्थित एक होटल में विश्राम करने के लिए अपनी यात्रा को कुछ समय के लिए स्थगित कर देता है। लेकिन जब वह प्रात:काल में जागता है तब पहले से तय की दूरी पर पुनः वापिस नहीं जाता। वह शेष दूरी को समाप्त करने के लिए आगे बढ़ता जाता है। समान रूप से भगवान की कृपा से ऐसा योगी पूर्वजन्मों में संचित की गयी आध्यात्मिक संपत्ति के बल पर नींद से जागे मनुष्य की भाँति अपनी यात्रा को वहीं से पुनः आरम्भ करने के योग्य हो जाता है जहाँ से उसने इसे छोड़ा था। इसी कारण ऐसे योगी का कभी पतन नहीं होता।",6,43
pūrvābhyāsena tenaiva hriyate hyavaśho ’pi saḥjijñāsur api yogasya śhabda-brahmātivartate,"Indeed, they feel drawn toward God, even against their will, on the strength of their past discipline. Such seekers naturally rise above the ritualistic principles of the scriptures.","Once spiritual sentiments have sprouted, they cannot be wiped out. The soul with devotional sanskārs (tendencies and impressions) from the present and past lifetimes gets naturally inspired toward spirituality. Such an individual feels drawn toward God, and this pull is also referred to as “the call of God.” Based upon the past sanskārs the call of God sometimes becomes so strong that it is said, “The call of God is the strongest call in one’s life.” People who experience it reject the entire world and the advice of their friends and relatives to tread the path that draws their heart. That is how in history, great princes, noblemen, wealthy businesspersons, etc. renounced the comfort of their worldly position to become ascetics, yogis, sages, mystics, and swamis. And since their hunger was for God alone, they naturally rose above the ritualistic practices prescribed in the Vedas for material advancement.","एक बार जब आध्यात्मिक भावनाएँ उदित होती हैं तब उन्हें समाप्त नहीं किया जा सकता। जीवात्मा वर्तमान और पूर्व जीवन के भक्तिमय संस्कारों के साथ आध्यात्मिकता की ओर प्रेरित होती हैं। ऐसे मनुष्य भगवान की ओर आकर्षित होते हैं और इस आकर्षण को 'भगवान का आमंत्रण' भी कहा जाता है। पूर्व जन्मों के संस्कारों पर आधारित 'भगवान का बुलावा' किसी के जीवन का सशक्त निमंत्रण है। जिन्हें इसकी अनुभूति होती है वे समस्त संसार को त्याग देते हैं और अपने मित्रों और सगे-संबंधियों को अपने हृदय को आकर्षित करने वाले मार्ग पर चलने का परामर्श देते हैं। ऐसा इतिहास में भी देखा गया है कि महान राजाओं, कुलीन पुरुषों, धनाढ्य व्यवसायियों ने तपस्वी, योगी, ऋषी, मनीषी और स्वामी बनने के लिए अपने लौकिक पद प्रतिष्ठा और सुख सुविधाओं का परित्याग किया था। इसके अतिरिक्त उनकी श्रद्धा केवल भगवान को प्राप्त करने के लिए थी अतः वे स्वाभाविक रूप से भौतिक उन्नति हेतु वेदों में वर्णित कर्म काण्डों से ऊपर उठ गये थे।",6,44
prayatnād yatamānas tu yogī sanśhuddha-kilbiṣhaḥaneka-janma-sansiddhas tato yāti parāṁ gatim,"With the accumulated merits of many past births, when these yogis engage in sincere endeavors to make further progress, they become purified from material desires and attain perfection in this life itself.","The accumulated practice of many past lives becomes the helpful breeze for spiritual progress. In this breeze, the yogis, continuing from past lives, hoist their sail in the form of sincere endeavor in the present life. Shree Krishna uses the words prayatnād yatamānastu, which means “striving harder than before.” The word tu indicates their present endeavor is deeper than in previous lifetimes when they were unsuccessful in completing the journey.They are thus able to take advantage of the momentum carried forward from the past and allow the favorable wind to sweep them to the goal. To onlookers, it may seem that they covered the entire distance in the present life, but Shree Krishna says: aneka janma sansiddhaḥ “Perfection in Yog is the result of the accumulated practice of many lives.”","पिछले जन्म के संचित अभ्यास आध्यात्मिक उन्नति के लिए सहायक समीर बन जाते हैं। इसी समीर में योगी अपने पूर्व जन्मों के अनुक्रम में वर्तमान जीवन में निष्ठापूर्वक प्रयत्नों के रूप में अपनी नाव को खड़ा करते हैं। यहाँ श्रीकृष्ण ने 'प्रयत्नाद्यतमानस्तु' शब्द का प्रयोग किया है, जिसका अर्थ 'पहले से अधिक अथक प्रयास' है। 'तू' शब्द यह इंगित करता है कि उनके वर्तमान प्रयास पूर्वजन्मों से और अधिक गहन होते हैं जब वे अपनी यात्रा को सम्पूर्ण करने में असफल रहे थे। इस प्रकार से वे अतीत से अग्रेनीत गति का लाभ उठाने में समर्थ हो जाते हैं और अनुकूल समीर को उन्हें लक्ष्य तक पहुँचाने की अनुमति देते हैं। देखने वालों को ऐसाप्रतीत होता है कि उन्होंने इस वर्तमान जीवन में ही संपूर्ण दूरी तय कर ली है। लेकिन श्रीकृष्ण कहते हैं-""जन्मसंसिद्धस्ततो"" अर्थात कई जन्मों के संचित कर्मों के परिणामस्वरूप योग में पूर्णता प्राप्त होती है।",6,45
tapasvibhyo ’dhiko yogījñānibhyo ’pi mato ’dhikaḥkarmibhyaśh chādhiko yogītasmād yogī bhavārjuna,"A yogi is superior to thetapasvī(ascetic), superior to thejñānī(a person of learning), and even superior to thekarmī(ritualistic performer). Therefore, O Arjun, strive to be a yogi.","A  tapasvī  (ascetic) is one who accepts voluntary mortification and lives an extremely austere lifestyle, refraining from sensual pleasures and the accumulation of material wealth, as an aid in the pursuit of salvation. A  jñānī  is a person of learning who actively engages in the cultivation of knowledge. A  karmī  is one who performs the Vedic rituals for attaining material opulence and the celestial abodes. Shree Krishna declares the yogi to be superior to them all. The reason for this is simple. The goal of the  karmī, jñānī,  and  tapasvī  is worldly attainment; they are still at the bodily platform of existence. The yogi is striving not for the world, but for God. As a result, the yogi’s accomplishment is at the spiritual platform and is superior to them all.","तपस्वी वह है जो स्वेच्छा से वैराग्य स्वीकार करता है, नितान्त सादा जीवन व्यतीत करता है और मोक्ष प्राप्त करने के साधन के रूप में इन्द्रियों के सुखों और भौतिक संपत्ति के संग्रह से दूर रहता है। ज्ञानी पुरुष वह है जो ज्ञान के संवर्धन में रत रहता है। कर्मी मनुष्य भौतिक समृद्धि और स्वर्ग प्राप्ति की कामना से वेदों में वर्णित कर्मकाण्डों का पालन करता रहता है। श्रीकृष्ण स्पष्ट करते हैं कि इनमें से सर्वश्रेष्ठ योगी होता है। इसका कारण अत्यंत सरल है-कर्मी, ज्ञानी और तपस्वी का लक्ष्य लौकिक सिद्धि प्राप्त करना होता है क्योंकि वे अभी तक शारीरिक अवस्था के अस्तित्व पर स्थित रहते हैं जबकि योगी सांसारिक सिद्धियाँ प्राप्त करने की अपेक्षा भगवान को पाने के लिए योग करता है। परिणामस्वरूप योगी की पूर्णता आध्यात्मिक स्तर पर होती है और इसी कारण से वह इन सबमें से श्रेष्ठ होता है।",6,46
yoginām api sarveṣhāṁ mad-gatenāntar-ātmanāśhraddhāvān bhajate yo māṁ sa me yuktatamo mataḥ,"Of all yogis, those whose minds are always absorbed in Me, and who engage in devotion to Me with great faith, them I consider to be the highest of all.","Even amongst yogis, there are karm yogis, bhakti yogis, jñāna yogis, aṣhṭāṅg yogis, etc. This verse puts to rest the debate about which form of Yog is the highest. Shree Krishna declares the bhakti yogi to be the highest, superior to even the best aṣhṭāṅg yogi and haṭha yogi. That is because bhakti , or devotion, is the highest power of God. It is such a power that binds God and makes him a slave of his devotee. Thus, he states in the Bhāgavatam:ahaṁ bhakta-parādhīno hyasvatantra iva dvijasādhubhir grasta-hṛidayo bhaktair bhakta-jana-priyaḥ (9.4.63)[v27]“Although I am supremely independent, yet I become enslaved by my devotees. They conquer my heart. What to speak of my devotees, even the devotees of my devotees are very dear to me.” The bhakti yogi possesses the power of divine love, and is thus most dear to God and considered by him to be the highest of all.In this verse, Shree Krishna has used the word bhajate. It comes from the root word bhaj, which means “to serve.” It is a far more significant word for devotion than “worship,” which means “to adore.” Here, Shree Krishna is talking about those who, not merely adore him, but also serve him with loving devotion. They are thus established in the natural position of the soul as the servant of God, while the other kinds of yogis are still incomplete in their realization. They have connected themselves with God, but they have not yet situated themselves in the understanding that they are his eternal servants.muktānām api siddhānāṁ nārāyaṇa-parāyaṇaḥsu-durlabhaḥ praśhāntātmā koṭiṣhv api mahā-mune (Bhāgavatam 6.14.5)[v28]“Amongst many millions of perfected and liberated saints, the peaceful person who is devoted to the Supreme Lord, Narayan, is very rare.”Another way of understanding this verse is that bhakti yog provides the closest and most complete realization of God. This is explained in verse 18.55, where Shree Krishna explains that the bhakti yogi alone understands the true personality of God.","हालांकि योगियों में कर्मयोगी, भक्ति योगी, अष्टांग योगी आदि सम्मिलित हैं। इस श्लोक में केवल यह चर्चा की गयी है कि योग की कौन सी पद्धति सर्वोत्तम है। श्रीकृष्ण भक्ति योगी को अष्टांग योगी और हठ योगी से भी श्रेष्ठ घोषित करते हैं क्योंकि भक्ति भगवान की दिव्यशक्ति है। यह एक ऐसी शक्ति है जो भगवान को बाध्य कर भक्त का दास बना देती है। इसलिए श्रीमद्भागवतम् में इस प्रकार से वर्णन किया है।अहं भक्तपराधीनो ह्यस्वतन्त्र इव द्विज।साधुभिर्ग्रस्तहृदयो भक्तैर्भक्तजनप्रियः।।(श्रीमद्भागवतम-9.4.63)""यद्यपि मैं परम स्वतंत्र हूँ, फिर भी मैं अपने भक्त का दास बन जाता हूँ। वे मेरे हृदय को वश में कर लेते हैं। मेरे भक्त का क्या वर्णन किया जा सकता है? यहाँ तक कि मेरे भक्त के भक्त भी मुझे अत्यंत प्रिय हैं।"" भक्त योगी दिव्य प्रेम की शक्ति से सम्पन्न होता है और इसलिए वह भगवान का अत्यंत प्रिय है और वे उसे सर्वश्रेष्ठ मानते हैं।इस श्लोक में भगवान ने 'भजते' शब्द का प्रयोग किया है। यह 'भज' धातु से बना है, जिसका अर्थ 'सेवा करना' है। यह भक्ति के लिए 'पूजा' शब्द की अपेक्षा अत्यधिक सार्थक शब्द है जिसका अर्थ 'श्रद्धा रखना' है। यहाँ श्रीकृष्ण उनकी चर्चा कर रहे हैं जो न केवल उनमें श्रद्धा रखते हैं बल्कि अपनी प्रेममयी भक्ति से उनकी सेवा भी करते हैं। इस प्रकार से वे भगवान के सेवक के रूप आत्मा की स्वाभाविक स्थिति में प्रतिष्ठित हो जाते हैं जबकि अन्य श्रेणी के योगी अपनी आत्मानुभूति में अभी तक अपूर्ण रहते हैं। वे स्वयं को भगवान के साथ एकीकृत तो कर लेते हैं किन्तु फिर भी वे इस ज्ञान में स्थित नहीं होते कि वे उसके नित्य दास हैं। श्रीमद्भागवतम् में पुनः वर्णन किया गया हैमुक्तानामपि सिद्धानां नारायणपरायणः।सुदुर्लभः प्रशान्तात्मा कोटिष्वपि महामुने।।(श्रीमद्भागवतम्-6.14.5)""कई लाखों सिद्ध और मुक्त संतो के मध्य कोई विरला शांत मनुष्य ही परमेश्वर नारायण का भक्त होता है।""अन्य विधि से इस श्लोक को इस प्रकार से भी समझा जा सकता है कि भक्ति योग ही भगवान की अंतरंग और पूर्ण अनुभूति करा सकता है। इसकी व्याख्या अठारहवें अध्याय के 55वें श्लोक में की गयी है जहाँ श्रीकृष्ण ने स्पष्ट किया है कि केवल भक्ति योग द्वारा ही भगवान के विराट एवं सच्चिदानन्द स्वरूप को समझा जा सकता है।",6,47
śhrī bhagavān uvāchamayyāsakta-manāḥ pārtha yogaṁ yuñjan mad-āśhrayaḥasanśhayaṁ samagraṁ māṁ yathā jñāsyasi tach chhṛiṇu,"The Supreme Lord said: Now listen, O Arjun, how, with the mind attached exclusively to Me, and surrendering to Me through the practice of bhakti yog, you can know Me completely, free from doubt.","While concluding the previous chapter, Shree Krishna stated that the best yogis are those who exclusively focus on God and serve Him with great dedication. This gives rise to a few questions, such as, how can one get to know the Supreme Lord? How should a devotee worship Him and meditate upon Him?Although Arjun had not asked these questions, yet the Omniscient and kind Lord began to answer. Here, Shree Krishna has used the terms mad-āśhrayaḥ, meaning “with your mind focused on Me” and śhṛiṇu, which means “listen.” He is asking Arjun to listen to Him attentively.",छठे अध्याय के समापन पर श्रीकृष्ण ने घोषणा की थी कि वे जो मन को केवल उनमें स्थिर कर श्रद्धा भक्ति से उनकी सेवा करते हैं वे सब योगियों में श्रेष्ठ हैं। इस कथन से मन में कुछ स्वाभाविक प्रश्न उठते हैं कि परमात्मा को जानने का मार्ग क्या है? कोई भगवान का ध्यान कैसे करे?भक्त भगवान की आराधना कैसे करे? यद्यपि अर्जुन द्वारा ये प्रश्न नहीं किए गए किन्तु अपनी अनुकंपा से भगवान इनका पूर्वानुमान कर उत्तर देना प्रारम्भ करते हैं। उन्होंने 'श्रृणु' शब्द का प्रयोग किया है जिसका अर्थ सुनना है और इसके साथ 'मदाश्रयः' शब्द का भी प्रयोग किया है जिसका अर्थ 'अपने मन को मुझमें केन्द्रित करना' है।,7,1
jñānaṁ te ’haṁ sa-vijñānam idaṁ vakṣhyāmyaśheṣhataḥyaj jñātvā neha bhūyo ’nyaj jñātavyam-avaśhiṣhyate,"I shall now reveal unto you fully this knowledge and wisdom, knowing which nothing else remains to be known in this world.","Jñāna is the knowledge learned by applying the mind, senses, and intellect. In contrast,vijñāna (wisdom) is the knowledge gained through spiritual practice, it is a direct experiential realization; and should not be misunderstood for intellectual knowledge. An example to explain this is honey kept in a sealed jar. We have heard that honey has the sweetest taste that is incomparable to any other sweet. But unless we open the jar and taste it, we will not get the experiential realization of its sweetness.Likewise, the Guru gives us jñāna, which is the theoretical knowledge of the scriptures. Yet, we need to practice sadhanaas per the acquired jñāna, which would consequently purify our mind. Only then, vijñāna (wisdom) knowledge, through self-realization will be attained.Once Sage Ved Vyas intended to write the Shreemad Bhagavatam: a scripture that would describe God, His glories, nature, and as the object of devotion. But he did not wish to write it only based upon his jñāna. Therefore, first he engaged himself in bhaktito attain the experiential realization, which is vijñāna. He wrote:bhakti-yogena manasi samyak praṇihite ’maleapaśhyat puruṣhaṁ pūrvaṁ māyāṁ cha tad-apāśhrayām(Bhagavatam 1.7.4)“Through bhakti-yog, Ved Vyas fixed his mind upon God without any material sentiments, and thus attained the complete vision and realization of the Supreme Divine Personality along with His external energy, Maya, which was under His control.” Inspired by this realization, he wrote the epic scripture.In this verse, Lord Shree Krishna affirmsto Arjun that He will bestow upon him the theoretical knowledge regarding the Supreme Divine Personality. He will also illuminate his mind with the required wisdom. Once this knowledge is acquired, there will be nothing remaining for him to know.","इन्द्रियों मन और बुद्धि से अर्जित जानकारी को ज्ञान कहते हैं। आध्यात्मिक अभ्यास के परिणामस्वरूप अपने अन्तःकरण से अन्तर्दृष्टि के रूप में प्राप्त ज्ञान को 'विज्ञान' कहा जाता है। विज्ञान बौद्धिक ज्ञान नहीं है क्योंकि इसकी प्रतीति का बोध प्रत्यक्ष अनुभव से होता है। उदाहरणार्थ हम बंद बोतल में रखी शहद की मिठास की प्रशंसा के संबंध में सुनते हैं, किन्तु सुनी-सुनाई बात से केवल सैद्धान्तिक ज्ञान प्राप्त होता है किन्तु जब हम बोतल के ढक्कन को खोलकर शहद का स्वाद चखते हैं तब हम उसकी मिठास के प्रत्यक्ष बोध का अनुभव करते हैं। समान रूप से गुरु और धर्मग्रंथों से प्राप्त सैद्धान्तिक जानकारी 'ज्ञान' है और जब हम उस ज्ञान के अनुसार साधना का अभ्यास और अपने मन को शुद्ध करते हैं तब हमारे भीतर अनुभूति के रूप में प्रकाशित ज्ञान 'विज्ञान' कहलाता है। जब वेदव्यास ने श्रीमद्भागवतम् लिखने कानिर्णय लिया तब उसमें प्रकृति, भगवान की महिमा और भक्ति के विषय का वर्णन करने के लिए वे ज्ञान के आधार पर इसकी रचना करने में संतुष्ट नहीं थे।भक्तियोगेन मनसि सम्यक् प्रणिहितेऽमले।अपश्यत्पुरुषं पूर्वं मायां च तदपाश्रयाम्।।(श्रीमद्भागवतम्-1.7.4)""भक्तियोग द्वारा वेदव्यास ने लौकिक भावनाओं से रहित होकर अपने मन को पूर्णतया एकाग्र और निर्मल करके भगवान के आश्रय में रहने वाली उनकी बाह्यशक्ति माया सहित परम पुरुषोत्तम भगवान के पूर्ण दर्शन की अनुभूति प्राप्त की। तब ऐसी अनुभूति से युक्त होकर उन्होंने इस प्रसिद्ध ग्रंथ की रचना की। श्रीकृष्ण स्पष्ट करते हैं कि वे अर्जुन के भीतर पुरुषोत्तम भगवान का सैद्धान्तिक ज्ञान प्रकाशित करेंगे और उसे भगवान का आंतरिक ज्ञान प्रदान करने में भी उसकी सहायता करेंगे। इस ज्ञान का बोध हो जाने से आगे फिर उसके लिए कुछ जानना शेष नहीं रहेगा।",7,2
